directed_by,avg(imdb_rating)
Neil Marshall,9.600000381469727
Alex Graves,9.366666634877523
Matt Shakman,9.199999809265137
Alik Sakharov,9.024999856948853
Jack Bender,9.0
Alan Taylor,9.0
D. B. Weiss,9.0
Daniel Minahan,8.860000038146973
Daniel Sackheim,8.800000190734863
Tim Van Patten,8.800000190734863
Brian Kirk,8.700000127156576
Michelle MacLaren,8.700000047683716
David Benioff,8.699999809265137
Jeremy Podeswa,8.666666587193808
Miguel Sapochnik,8.666666507720947
Mark Mylod,8.616666793823242
David Petrarca,8.600000381469727
David Nutter,8.466666645473904
Michael Slovis,8.399999618530273
David Benioff & D. B. Weiss,4.099999904632568
