value,count
Jon,39
Daenerys,32
Tyrion,31
Arya,20
Sansa,18
Jaime,17
Cersei,17
Night's,15
King's,14
Theon,14
Robb,13
makes,13
new,12
Bran,12
Sam,12
arrives,11
plans,11
arrive,10
tries,10
against,10
meets,9
Stannis,9
Watch,9
on,8
Jorah,8
by,7
Gilly,7
Castle,7
King,7
Lord,7
into,7
have,7
Ramsay,7
battle,6
finds,6
Landing.,6
about,6
he,6
wildlings,5
faces,5
their,5
Daenerys.,5
Brienne,5
Black.,5
Catelyn,5
while,5
Landing,5
that,5
company,5
secret,5
sail,4
returns,4
come.,4
Wall.,4
Eddard,4
In,4
face,4
vows,4
Watch.,4
take,4
attack,4
Winterfell.,4
Yara,4
runs,4
decision.,4
Winterfell,4
find,4
Joffrey,4
Tommen,4
Sand,4
make,4
Hot,4
asks,4
meet,4
White,4
Tyrell,4
over,4
prepares,4
says,4
Robert,4
or,4
sends,4
army,3
High,3
trial,3
begins.,3
Yunkai.,3
must,3
difficult,3
confesses,3
"Arya,",3
Seven,3
confronts,3
receives,3
unexpected,3
takes,3
persuade,3
heads,3
decide,3
Stannis.,3
old,3
between,3
Lannisters,3
secret.,3
Ellaria,3
taken,3
Sparrow.,3
goes,3
Varys,3
war.,3
fate,3
captured,3
join,3
Bronn,3
Pie,3
challenges,3
before,3
Kingdoms.,3
Harrenhal.,3
if,3
goodbye,3
Craster's,3
Meereen.,3
Tyrells.,3
"Gendry,",3
place,3
Davos,3
Sansa.,3
Margaery,2
Talisa,2
travel,2
Loras,2
Keep.,2
Brotherhood.,2
leave,2
Tyrells,2
"Meereen,",2
Jon.,2
Daario,2
father,2
Oldtown.,2
him,2
Mance,2
who,2
put,2
growing,2
Hound,2
own,2
Dorne.,2
back,2
can,2
deal,2
Dothrak.,2
Vaes,2
Meereen,2
Meera,2
begins,2
comes,2
group,2
given,2
be,2
Drogo.,2
great,2
sneak,2
Littlefinger,2
Tyrion.,2
prisoner.,2
Bran's,2
arrested,2
Walkers,2
Braavos.,2
investigates,2
Iron,2
family,2
control,2
Jaqen,2
trial.,2
Olenna,2
family.,2
go,2
after,2
Melisandre.,2
plans.,2
Craster.,2
move,2
Ned,2
people,2
While,2
city,2
Lannisters.,2
breaks,2
beyond,2
leaves,2
Small,2
visitor.,2
Mole's,2
just,2
revenge,2
move.,2
finally,2
wilderness,2
At,2
Riverrun.,2
father's,2
see,2
reveals,2
Commander.,2
freedom.,2
slave,2
choice.,2
Brienne.,2
plan,2
stands,2
discovers,2
up,2
life.,2
destination.,2
arrived,2
been,2
important,2
Viserys,2
where,2
final,2
travels,2
forced,2
through,2
trouble,2
trains,2
"Landing,",2
gives,2
Westeros.,2
ally.,2
Snakes,2
Night,2
way,2
Snow,2
war,2
marries,2
prove,2
seeks,2
Baelish,2
Council.,2
wed.,2
loyalties,2
Ygritte.,2
south.,2
Sons,2
"Winterfell,",2
first,2
brought,2
Melisandre,2
offers,2
reaches,2
demands,2
tells,2
Podrick,2
Drogo,2
south,2
friends.,2
"Black,",2
some,1
"sister,",1
Renly's,1
Cailin.,1
ready,1
gathers,1
wall,1
joins,1
used,1
born.,1
even,1
escaped,1
fleet,1
Eyrie.,1
Moat,1
Meereen's,1
earlier,1
scale,1
Walker.,1
two,1
Bolton,1
actions.,1
uncle,1
Benjen,1
anyone,1
Jojen,1
Bank,1
troops.,1
confronted,1
surviving,1
helping,1
leave.,1
kingdom,1
losing,1
trying,1
own.,1
buy,1
Pie.,1
occurs.,1
set,1
North's,1
Arryn's,1
"Robert,",1
Baratheon's,1
daughters,1
"goal,",1
test.,1
Pyke,1
Reed.,1
faced,1
zo,1
emerges.,1
lie.,1
slaves.,1
Clegane,1
Pentos.,1
kings.,1
Pyke.,1
shelter.,1
spoils,1
Arya's,1
pits.,1
sins.,1
Harpy.,1
fallen,1
devastating,1
Gendry,1
miracle.,1
press,1
rides,1
target.,1
tested.,1
discuss,1
tried,1
Daario.,1
lost,1
Jaime.,1
guest.,1
champion.,1
attends,1
resistance.,1
Battle,1
becomes,1
stand,1
bring,1
falling,1
friend,1
desperate,1
ignored,1
herself.,1
Rayder.,1
granted,1
welcomes,1
awaits,1
Mountain.,1
way.,1
Oberyn's,1
defenses.,1
hand.,1
wight.,1
for.,1
friends,1
wedding,1
Loraq.,1
miracle,1
worth,1
"south.\"",1
Margaery's,1
realm.,1
aims,1
attacks,1
"remembers.\"\"",1
rescue,1
apart.,1
"his,",1
Euron,1
battle.,1
told,1
tell,1
Weirwood,1
task,1
Tully.,1
Harpies,1
H'ghar.,1
releases,1
itself,1
sells,1
out,1
arise.,1
future,1
wildlings.,1
future.,1
"prisoner,",1
Snow.,1
himself,1
down.,1
"Brienne,",1
consequences.,1
letter,1
Landing;,1
story,1
captures,1
days,1
God.,1
engagement.,1
prisoner,1
families.,1
coward,1
met,1
uncomfortable,1
impatient,1
gather,1
struggling,1
gift.,1
"supposed,",1
"Rayder,",1
split,1
Snakes.,1
Hill.,1
cities.,1
Joffrey.,1
fields,1
team,1
plan.,1
permission,1
"Vale,",1
heeds,1
serve,1
rallies,1
Tyrell.,1
Shae.,1
orders,1
next,1
free,1
mother,1
past,1
Tully's,1
Sparrows.,1
issues,1
reunion,1
when,1
names,1
Cersei.,1
buys,1
Brotherhood,1
life,1
fresh,1
enemy.,1
up.,1
Mormont.,1
Old,1
Walkers.,1
"Tarly,",1
murder,1
but,1
Faith.,1
conquest,1
quits.,1
without,1
"Meanwhile,",1
enemy,1
help.,1
trust,1
turn,1
Master,1
Trant.,1
Moro.,1
others,1
hunt,1
hostage.,1
capture,1
achieves,1
gets,1
use,1
dungeons.,1
mission.,1
attack.,1
Martell.,1
tight,1
Sam's,1
chapter,1
camp,1
aside,1
red,1
Second,1
follows,1
skepticism.,1
seizes,1
pointed,1
murder.,1
it,1
odds.,1
tough,1
Rickon,1
offer,1
off,1
mopes,1
father.,1
Many-Faced,1
warlord,1
officially,1
now,1
does,1
Mormont,1
only,1
developed,1
wed,1
Hand,1
sleeps,1
tempts,1
shadows.,1
Starks;,1
Baratheon,1
investigate,1
escape,1
Baelish.,1
revenge.,1
odds,1
frees,1
Gendry.,1
dragons.,1
fighting,1
plot,1
retreat,1
injured,1
feelings,1
receive,1
enter,1
herself,1
deciding,1
Throne,1
Arya.,1
Edmure,1
Citadel.,1
hands.,1
Joffery,1
decides,1
grand,1
welcomed,1
anything,1
army.,1
Three-Eyed,1
bold,1
Lannister,1
soldiers;,1
ill,1
puts,1
farewell,1
win,1
uninvited,1
Freys,1
combat,1
sent,1
order,1
Tyrion's,1
return,1
revealed.,1
save,1
wildling,1
hunting,1
spot.,1
arrests,1
them.,1
imprisoned,1
Doran,1
vanquish,1
Riverrun,1
adjust,1
dogs,1
Sandor,1
"killed,",1
them,1
arrival.,1
"Furious,",1
she's,1
hard,1
Khal,1
Coin.,1
never,1
what,1
elects,1
"\"\"the",1
Robb's,1
helps,1
long-kept,1
token,1
Qhorin,1
Hoster,1
pregnant.,1
Dreadfort,1
No,1
exchange,1
Maegyr.,1
advice,1
hunts,1
mourns,1
Myrcella.,1
decisions.,1
Forces,1
poison,1
lie,1
Joffrey's,1
storm,1
wound.,1
encounter.,1
advantage,1
chooses.,1
survivors,1
troops,1
Jon's,1
three,1
bled,1
Westeros,1
away,1
loyalty,1
training,1
Bran.,1
sold,1
shocking,1
aftermath,1
experiences,1
Bolton.,1
plots,1
part,1
priestess.,1
reminds,1
risks,1
stolen.,1
releasing,1
elders.,1
Ramsay's,1
case,1
Martell,1
"Clegane,",1
heart.,1
Renly,1
"Wall,",1
discovery.,1
rule,1
gains,1
whereabouts.,1
death.,1
Horn,1
consequences,1
allies.,1
guest,1
warning,1
recovers,1
help,1
generous,1
sets,1
Oberyn,1
Raven.,1
Frey,1
northern,1
Unsullied.,1
stir,1
world,1
enemies.,1
him.,1
hatch,1
caught,1
"Jaime,",1
seize,1
Gregor,1
matters,1
Tormund,1
house,1
reward.,1
vows.,1
invasion,1
strikes,1
"story,",1
lead,1
remains,1
"Pyke,",1
Tywin.,1
Watch;,1
visits,1
Beyond,1
get,1
try,1
Tywin,1
savors,1
Myrcella,1
torn,1
entrusts,1
weapon,1
recovering,1
saving,1
children.,1
masters.,1
chance,1
patience,1
Robb.,1
builds,1
tip,1
ruins,1
come,1
run,1
funeral.,1
protect,1
hunting.,1
children's,1
reopening,1
career,1
begin,1
ships,1
adapts,1
all,1
alongside,1
slavers.,1
crimes,1
Freys.,1
Everyone,1
discover,1
brother,1
"fall,",1
befriends,1
Theon.,1
forces,1
gods.,1
"home,",1
named,1
looks,1
Stark,1
refuses,1
advises,1
home.,1
sister,1
triumph,1
Meryn,1
Craster's.,1
east,1
Town.,1
"man,",1
war;,1
H'ghar,1
out.,1
information,1
nomadic,1
"wildling,",1
another,1
"life,",1
side,1
Qarth.,1
anyone.,1
Volantis.,1
judged,1
One.,1
Samwell,1
Watchmen,1
crowned,1
King.,1
adapting,1
stubborn.,1
origin,1
Wall;,1
Twins,1
truly,1
organizes,1
Viserys.,1
kill,1
test,1
wounded.,1
escapes,1
Valyria.,1
reward,1
asked,1
dying.,1
Daenerys',1
true,1
Margaery.,1
"Arryn,",1
tree.,1
Town,1
judgment,1
behind,1
march,1
Lysa,1
move;,1
themselves,1
North,1
survivors.,1
dragons,1
Hizdar,1
meet.,1
collect,1
Ygritte,1
attacked,1
wedding.,1
"\"Jon",1
learns,1
Baratheon;,1
allies,1
living,1
